seq	yaw_per_m	config	keyframes	loops	ate_drift	ate_pgo
00	0.0	stock	1577	13	0.0	0.7282
00	0.0	plane	1577	13	0.0	0.6736
00	0.0	rust	1577	17	0.0	0.5956
00	0.02	stock	1579	13	3.1246	0.8232
00	0.02	plane	1579	13	3.1246	0.7946
00	0.02	rust	1579	18	3.1246	2.284
02	0.0	stock	2060	5	0.0	2.1354
02	0.0	plane	2060	5	0.0	2.2641
02	0.0	rust	2060	6	0.0	1.497
02	0.02	stock	2061	4	7.5587	3.0443
02	0.02	plane	2061	4	7.5587	3.3186
02	0.02	rust	2061	6	7.5587	2.4195
05	0.0	stock	946	8	0.0	0.5979
05	0.0	plane	946	8	0.0	0.6046
05	0.0	rust	946	11	0.0	0.0338
05	0.02	stock	946	8	0.5503	0.4687
05	0.02	plane	946	8	0.5503	0.4746
05	0.02	rust	946	11	0.5503	0.5415
06	0.0	stock	488	3	0.0	0.0795
06	0.0	plane	488	3	0.0	0.0717
06	0.0	rust	488	6	0.0	0.0154
06	0.02	stock	489	3	0.0281	0.087
06	0.02	plane	489	3	0.0281	0.089
06	0.02	rust	489	6	0.0281	0.042
07	0.0	stock	302	1	0.0	0.2225
07	0.0	plane	302	1	0.0	0.2076
07	0.0	rust	302	1	0.0	0.0049
07	0.02	stock	302	1	0.1771	0.2826
07	0.02	plane	302	1	0.1771	0.2702
07	0.02	rust	302	1	0.1771	0.1771
08	0.0	stock	1365	6	0.0	6.5887
08	0.0	plane	1365	6	0.0	6.4448
08	0.0	rust	1365	9	0.0	0.2056
08	0.02	stock	1367	6	3.6132	6.1516
08	0.02	plane	1367	6	3.6132	6.2598
08	0.02	rust	1367	8	3.6132	4.0056
09	0.0	stock	681	1	0.0	2.0221
09	0.0	plane	681	1	0.0	2.1321
09	0.0	rust	681	1	0.0	0.1051
09	0.02	stock	682	1	0.3509	2.0304
09	0.02	plane	682	1	0.3509	2.1486
09	0.02	rust	682	1	0.3509	0.3661
